batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,3.4405e-05
2,4,13,3,4.0535e-05
2,8,33,3,5.8787e-05
2,16,97,3,0.000101992
2,32,321,3,0.000205463
2,64,1153,3,0.000464844
2,128,4353,3,0.00117662
2,256,16897,3,0.00398863
2,512,66561,3,0.0124327
2,1024,264193,3,0.0451397
2,2048,1052673,3,0.175964
2,4096,4202497,3,0.685573
,,,,
4,2,6,3,3.8621e-05
4,4,13,3,7.4309e-05
4,8,33,3,6.8993e-05
4,16,97,3,0.000117943
4,32,321,3,0.000229711
4,64,1153,3,0.000517176
4,128,4353,3,0.00131012
4,256,16897,3,0.00391622
4,512,66561,3,0.0126915
4,1024,264193,3,0.0443038
4,2048,1052673,3,0.170578
4,4096,4202497,3,0.661747
,,,,
8,2,6,3,7.87e-05
8,4,13,3,9.8702e-05
8,8,33,3,0.000132271
8,16,97,3,0.000222624
8,32,321,3,0.000440542
8,64,1153,3,0.000642418
8,128,4353,3,0.00152152
8,256,16897,3,0.00423261
8,512,66561,3,0.0134547
8,1024,264193,3,0.0460644
8,2048,1052673,3,0.173643
8,4096,4202497,3,0.665901
,,,,
16,2,6,3,7.4937e-05
16,4,13,3,8.0347e-05
16,8,33,3,0.000132651
16,16,97,3,0.000209036
16,32,321,3,0.000401655
16,64,1153,3,0.00082621
16,128,4353,3,0.00192219
16,256,16897,3,0.00501716
16,512,66561,3,0.0148135
16,1024,264193,3,0.0499485
16,2048,1052673,3,0.179889
16,4096,4202497,3,0.688697
,,,,
32,2,6,3,0.000123701
32,4,13,3,0.000137845
32,8,33,3,0.000202039
32,16,97,3,0.00033522
32,32,321,3,0.000624253
32,64,1153,3,0.00127131
32,128,4353,3,0.00276132
32,256,16897,3,0.00668426
32,512,66561,3,0.018103
32,1024,264193,3,0.0575996
32,2048,1052673,3,0.198625
32,4096,4202497,3,0.706862
,,,,
64,2,6,3,0.000180552
64,4,13,3,0.000220648
64,8,33,3,0.000347676
64,16,97,3,0.000597101
64,32,321,3,0.00109876
64,64,1153,3,0.00212524
64,128,4353,3,0.00443605
64,256,16897,3,0.0100389
64,512,66561,3,0.025346
64,1024,264193,3,0.0694057
64,2048,1052673,3,0.21954
64,4096,4202497,3,0.78494
,,,,
128,2,6,3,0.00036766
128,4,13,3,0.000426628
128,8,33,3,0.000657438
128,16,97,3,0.00112513
128,32,321,3,0.00207878
128,64,1153,3,0.0039871
128,128,4353,3,0.0080414
128,256,16897,3,0.0172229
128,512,66561,3,0.0393264
128,1024,264193,3,0.0979671
128,2048,1052673,3,0.282536
128,4096,4202497,3,0.887477
,,,,
