batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,2.3048e-05
2,4,13,3,2.709e-05
2,8,33,3,3.5118e-05
2,16,97,3,9.4505e-05
2,32,321,3,0.00011837
2,64,1153,3,0.000325701
2,128,4353,3,0.000977875
2,256,16897,3,0.00350825
2,512,66561,3,0.0116384
2,1024,264193,3,0.0433666
2,2048,1052673,3,0.167957
2,4096,4202497,3,0.676202
,,,,
4,2,6,3,6.0632e-05
4,4,13,3,5.8935e-05
4,8,33,3,8.7319e-05
4,16,97,3,0.000147949
4,32,321,3,0.000289135
4,64,1153,3,0.000640126
4,128,4353,3,0.00170383
4,256,16897,3,0.00371348
4,512,66561,3,0.0119029
4,1024,264193,3,0.0452574
4,2048,1052673,3,0.165894
4,4096,4202497,3,0.682788
,,,,
8,2,6,3,8.4537e-05
8,4,13,3,0.00010242
8,8,33,3,0.000140917
8,16,97,3,0.000247514
8,32,321,3,0.000460019
8,64,1153,3,0.00103376
8,128,4353,3,0.00244383
8,256,16897,3,0.00603025
8,512,66561,3,0.0166512
8,1024,264193,3,0.0509237
8,2048,1052673,3,0.184343
8,4096,4202497,3,0.709591
,,,,
16,2,6,3,9.9884e-05
16,4,13,3,0.000119181
16,8,33,3,0.000177547
16,16,97,3,0.000305734
16,32,321,3,0.000593034
16,64,1153,3,0.00131712
16,128,4353,3,0.00849482
16,256,16897,3,0.00681946
16,512,66561,3,0.0181581
16,1024,264193,3,0.0545039
16,2048,1052673,3,0.195096
16,4096,4202497,3,0.696258
,,,,
32,2,6,3,0.00060904
32,4,13,3,0.000167615
32,8,33,3,0.00025881
32,16,97,3,0.00044768
32,32,321,3,0.00345608
32,64,1153,3,0.00172793
32,128,4353,3,0.00376578
32,256,16897,3,0.00854
32,512,66561,3,0.0211154
32,1024,264193,3,0.0623028
32,2048,1052673,3,0.209804
32,4096,4202497,3,0.748223
,,,,
64,2,6,3,0.000210834
64,4,13,3,0.000281782
64,8,33,3,0.000407982
64,16,97,3,0.000720298
64,32,321,3,0.00132348
64,64,1153,3,0.0271723
64,128,4353,3,0.00561181
64,256,16897,3,0.0117811
64,512,66561,3,0.0277232
64,1024,264193,3,0.0744899
64,2048,1052673,3,0.230022
64,4096,4202497,3,0.801636
,,,,
128,2,6,3,0.000363814
128,4,13,3,0.000478418
128,8,33,3,0.0127439
128,16,97,3,0.00141906
128,32,321,3,0.00237843
128,64,1153,3,0.0044941
128,128,4353,3,0.00896587
128,256,16897,3,0.0185007
128,512,66561,3,0.041569
128,1024,264193,3,0.276371
128,2048,1052673,3,0.288084
128,4096,4202497,3,0.893898
,,,,
