batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,0.000130745
2,4,13,3,5.3805e-05
2,8,33,3,9.2191e-05
2,16,97,3,0.000176163
2,32,321,3,0.000349333
2,64,1153,3,0.000843757
2,128,4353,3,0.00272879
2,256,16897,3,0.00962704
2,512,66561,3,0.0381697
2,1024,264193,3,0.143504
2,2048,1052673,3,0.569187
2,4096,4202497,3,2.23313
,,,,
4,2,6,3,9.5423e-05
4,4,13,3,8.5048e-05
4,8,33,3,0.000141254
4,16,97,3,0.00023018
4,32,321,3,0.000563244
4,64,1153,3,0.0015044
4,128,4353,3,0.00497713
4,256,16897,3,0.0189012
4,512,66561,3,0.0722619
4,1024,264193,3,0.279612
4,2048,1052673,3,1.1096
4,4096,4202497,3,4.39304
,,,,
8,2,6,3,0.000110253
8,4,13,3,0.000124495
8,8,33,3,0.000238462
8,16,97,3,0.00045558
8,32,321,3,0.00103207
8,64,1153,3,0.0029901
8,128,4353,3,0.00962503
8,256,16897,3,0.0366498
8,512,66561,3,0.147368
8,1024,264193,3,0.537882
8,2048,1052673,3,2.1869
8,4096,4202497,3,8.74598
,,,,
16,2,6,3,0.000186305
16,4,13,3,0.000212388
16,8,33,3,0.000357169
16,16,97,3,0.000851244
16,32,321,3,0.00198059
16,64,1153,3,0.00582306
16,128,4353,3,0.0191757
16,256,16897,3,0.0702826
16,512,66561,3,0.270876
16,1024,264193,3,1.06817
16,2048,1052673,3,4.36567
16,4096,4202497,3,16.7619
,,,,
32,2,6,3,0.000261862
32,4,13,3,0.000383252
32,8,33,3,0.000716145
32,16,97,3,0.00152782
32,32,321,3,0.0038149
32,64,1153,3,0.0116896
32,128,4353,3,0.0384061
32,256,16897,3,0.136559
32,512,66561,3,0.521055
32,1024,264193,3,2.04798
32,2048,1052673,3,8.42214
32,4096,4202497,3,33.1684
,,,,
64,2,6,3,0.000471328
64,4,13,3,0.000764406
64,8,33,3,0.00148315
64,16,97,3,0.0032314
64,32,321,3,0.00796952
64,64,1153,3,0.0237558
64,128,4353,3,0.0773076
64,256,16897,3,0.269403
64,512,66561,3,1.03704
64,1024,264193,3,4.0962
64,2048,1052673,3,16.9022
64,4096,4202497,3,68.3729
,,,,
128,2,6,3,0.000965935
128,4,13,3,0.0016068
128,8,33,3,0.00312274
128,16,97,3,0.00703498
128,32,321,3,0.0169001
128,64,1153,3,0.0487154
128,128,4353,3,0.157937
128,256,16897,3,0.560784
128,512,66561,3,2.08928
128,1024,264193,3,8.2469
128,2048,1052673,3,34.7028
128,4096,4202497,3,135.797
,,,,
