batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,5.3839e-05
2,4,13,3,4.7512e-05
2,8,33,3,6.7606e-05
2,16,97,3,0.000112353
2,32,321,3,0.000238357
2,64,1153,3,0.000517255
2,128,4353,3,0.00151841
2,256,16897,3,0.00369142
2,512,66561,3,0.0116302
2,1024,264193,3,0.0430954
2,2048,1052673,3,0.176606
2,4096,4202497,3,0.683354
,,,,
4,2,6,3,5.9243e-05
4,4,13,3,6.8266e-05
4,8,33,3,0.000104129
4,16,97,3,0.000192884
4,32,321,3,0.000349642
4,64,1153,3,0.000538406
4,128,4353,3,0.00207449
4,256,16897,3,0.00519722
4,512,66561,3,0.0130519
4,1024,264193,3,0.0465827
4,2048,1052673,3,0.177198
4,4096,4202497,3,0.690294
,,,,
8,2,6,3,8.2205e-05
8,4,13,3,8.6026e-05
8,8,33,3,0.000147791
8,16,97,3,0.000225178
8,32,321,3,0.000462508
8,64,1153,3,0.000927299
8,128,4353,3,0.00223793
8,256,16897,3,0.00427506
8,512,66561,3,0.0156107
8,1024,264193,3,0.047779
8,2048,1052673,3,0.182579
8,4096,4202497,3,0.677081
,,,,
16,2,6,3,0.000113992
16,4,13,3,0.000116032
16,8,33,3,0.000186084
16,16,97,3,0.000306078
16,32,321,3,0.000571837
16,64,1153,3,0.00120589
16,128,4353,3,0.00178515
16,256,16897,3,0.00493896
16,512,66561,3,0.0149692
16,1024,264193,3,0.0504539
16,2048,1052673,3,0.190385
16,4096,4202497,3,0.703268
,,,,
32,2,6,3,0.00015046
32,4,13,3,0.000175527
32,8,33,3,0.000277581
32,16,97,3,0.000463356
32,32,321,3,0.000866356
32,64,1153,3,0.00178517
32,128,4353,3,0.00254003
32,256,16897,3,0.00617187
32,512,66561,3,0.0174866
32,1024,264193,3,0.0551472
32,2048,1052673,3,0.191426
32,4096,4202497,3,0.696981
,,,,
64,2,6,3,0.000241695
64,4,13,3,0.000294681
64,8,33,3,0.000450447
64,16,97,3,0.000787916
64,32,321,3,0.00158392
64,64,1153,3,0.00296593
64,128,4353,3,0.00616482
64,256,16897,3,0.00868897
64,512,66561,3,0.0225492
64,1024,264193,3,0.0654059
64,2048,1052673,3,0.208555
64,4096,4202497,3,0.770678
,,,,
128,2,6,3,0.000419589
128,4,13,3,0.000549739
128,8,33,3,0.000851143
128,16,97,3,0.00158347
128,32,321,3,0.00157838
128,64,1153,3,0.0030849
128,128,4353,3,0.00638896
128,256,16897,3,0.016818
128,512,66561,3,0.0327509
128,1024,264193,3,0.0853533
128,2048,1052673,3,0.256377
128,4096,4202497,3,0.854242
,,,,
