batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,1.981e-06
2,4,13,3,2.147e-06
2,8,33,3,4.441e-06
2,16,97,3,1.3062e-05
2,32,321,3,5.7746e-05
2,64,1153,3,0.000165669
2,128,4353,3,0.000726171
2,256,16897,3,0.00292835
2,512,66561,3,0.0124223
2,1024,264193,3,0.0461969
2,2048,1052673,3,0.199169
2,4096,4202497,3,0.789575
,,,,
4,2,6,3,3.567e-06
4,4,13,3,3.94e-06
4,8,33,3,8.131e-06
4,16,97,3,2.4153e-05
4,32,321,3,0.000118985
4,64,1153,3,0.000345926
4,128,4353,3,0.00127994
4,256,16897,3,0.00497732
4,512,66561,3,0.0252684
4,1024,264193,3,0.0865308
4,2048,1052673,3,0.347153
4,4096,4202497,3,1.40063
,,,,
8,2,6,3,5.113e-06
8,4,13,3,1.8599e-05
8,8,33,3,1.6532e-05
8,16,97,3,4.7262e-05
8,32,321,3,0.000205686
8,64,1153,3,0.00063789
8,128,4353,3,0.0025154
8,256,16897,3,0.0107923
8,512,66561,3,0.0453205
8,1024,264193,3,0.172756
8,2048,1052673,3,0.696944
8,4096,4202497,3,2.77742
,,,,
16,2,6,3,8.429e-06
16,4,13,3,1.1657e-05
16,8,33,3,3.1198e-05
16,16,97,3,0.000104972
16,32,321,3,0.000328828
16,64,1153,3,0.00124726
16,128,4353,3,0.00501182
16,256,16897,3,0.0221591
16,512,66561,3,0.0866601
16,1024,264193,3,0.336587
16,2048,1052673,3,1.38775
16,4096,4202497,3,5.6751
,,,,
32,2,6,3,1.3562e-05
32,4,13,3,2.1732e-05
32,8,33,3,6.2101e-05
32,16,97,3,0.000188254
32,32,321,3,0.000662656
32,64,1153,3,0.00260167
32,128,4353,3,0.0102747
32,256,16897,3,0.0433731
32,512,66561,3,0.170737
32,1024,264193,3,0.691771
32,2048,1052673,3,2.85256
32,4096,4202497,3,11.2258
,,,,
64,2,6,3,2.4197e-05
64,4,13,3,4.2636e-05
64,8,33,3,0.000132918
64,16,97,3,0.000381543
64,32,321,3,0.00132221
64,64,1153,3,0.00513081
64,128,4353,3,0.0206987
64,256,16897,3,0.0849041
64,512,66561,3,0.33993
64,1024,264193,3,1.38016
64,2048,1052673,3,5.70653
64,4096,4202497,3,23.0195
,,,,
128,2,6,3,4.9206e-05
128,4,13,3,0.000111267
128,8,33,3,0.00025218
128,16,97,3,0.000789735
128,32,321,3,0.00292809
128,64,1153,3,0.0127229
128,128,4353,3,0.0419486
128,256,16897,3,0.16453
128,512,66561,3,0.675367
128,1024,264193,3,2.74952
128,2048,1052673,3,11.4217
128,4096,4202497,3,44.6043
,,,,
