batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,6.7964e-05
2,4,13,3,9.144e-05
2,8,33,3,0.000109379
2,16,97,3,0.00017604
2,32,321,3,0.000387608
2,64,1153,3,0.00104733
2,128,4353,3,0.00341244
2,256,16897,3,0.0124403
2,512,66561,3,0.0491973
2,1024,264193,3,0.183652
2,2048,1052673,3,0.719106
2,4096,4202497,3,2.92123
,,,,
4,2,6,3,0.0082571
4,4,13,3,0.000141136
4,8,33,3,0.000288553
4,16,97,3,0.00143704
4,32,321,3,0.00121539
4,64,1153,3,0.00327977
4,128,4353,3,0.0212136
4,256,16897,3,0.0273173
4,512,66561,3,0.106079
4,1024,264193,3,0.360661
4,2048,1052673,3,1.38047
4,4096,4202497,3,5.60262
,,,,
8,2,6,3,0.0254364
8,4,13,3,0.0108566
8,8,33,3,0.000420488
8,16,97,3,0.000872772
8,32,321,3,0.00223891
8,64,1153,3,0.0053292
8,128,4353,3,0.0275113
8,256,16897,3,0.0662912
8,512,66561,3,0.196229
8,1024,264193,3,0.683043
8,2048,1052673,3,2.717
8,4096,4202497,3,10.911
,,,,
16,2,6,3,0.0128155
16,4,13,3,0.000811754
16,8,33,3,0.000640991
16,16,97,3,0.00140458
16,32,321,3,0.0066276
16,64,1153,3,0.0309965
16,128,4353,3,0.0398716
16,256,16897,3,0.0954096
16,512,66561,3,0.358115
16,1024,264193,3,1.31782
16,2048,1052673,3,5.51628
16,4096,4202497,3,21.1438
,,,,
32,2,6,3,0.0124429
32,4,13,3,0.000525348
32,8,33,3,0.00106704
32,16,97,3,0.00250024
32,32,321,3,0.0224196
32,64,1153,3,0.015358
32,128,4353,3,0.0578228
32,256,16897,3,0.179974
32,512,66561,3,0.687894
32,1024,264193,3,2.70938
32,2048,1052673,3,10.976
32,4096,4202497,3,43.1632
,,,,
64,2,6,3,0.0129042
64,4,13,3,0.00092581
64,8,33,3,0.0018941
64,16,97,3,0.0058795
64,32,321,3,0.0277163
64,64,1153,3,0.0478477
64,128,4353,3,0.098126
64,256,16897,3,0.361591
64,512,66561,3,1.36875
64,1024,264193,3,5.17776
64,2048,1052673,3,21.0047
64,4096,4202497,3,85.9163
,,,,
128,2,6,3,0.016503
128,4,13,3,0.00167238
128,8,33,3,0.018081
128,16,97,3,0.00757026
128,32,321,3,0.0347152
128,64,1153,3,0.0571891
128,128,4353,3,0.210017
128,256,16897,3,0.723424
128,512,66561,3,2.74015
128,1024,264193,3,10.2986
128,2048,1052673,3,42.8436
128,4096,4202497,3,172.913
,,,,
