batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,0.00664736
2,4,13,3,0.000102888
2,8,33,3,0.000167462
2,16,97,3,0.000311685
2,32,321,3,0.000697072
2,64,1153,3,0.00188999
2,128,4353,3,0.00623035
2,256,16897,3,0.01498
2,512,66561,3,0.0545319
2,1024,264193,3,0.187745
2,2048,1052673,3,0.74155
2,4096,4202497,3,2.98178
,,,,
4,2,6,3,0.00134005
4,4,13,3,0.000152508
4,8,33,3,0.000274383
4,16,97,3,0.000536742
4,32,321,3,0.00126397
4,64,1153,3,0.00339415
4,128,4353,3,0.00779619
4,256,16897,3,0.0261175
4,512,66561,3,0.096522
4,1024,264193,3,0.360375
4,2048,1052673,3,1.43505
4,4096,4202497,3,5.65839
,,,,
8,2,6,3,0.0129065
8,4,13,3,0.000303027
8,8,33,3,0.000410286
8,16,97,3,0.000834458
8,32,321,3,0.00209932
8,64,1153,3,0.00519294
8,128,4353,3,0.0140015
8,256,16897,3,0.0494543
8,512,66561,3,0.182368
8,1024,264193,3,0.688061
8,2048,1052673,3,2.70801
8,4096,4202497,3,10.7193
,,,,
16,2,6,3,0.0130356
16,4,13,3,0.000431156
16,8,33,3,0.000628409
16,16,97,3,0.0013927
16,32,321,3,0.00348247
16,64,1153,3,0.00870293
16,128,4353,3,0.0269116
16,256,16897,3,0.0927836
16,512,66561,3,0.347045
16,1024,264193,3,1.35355
16,2048,1052673,3,5.36106
16,4096,4202497,3,21.8742
,,,,
32,2,6,3,0.0135859
32,4,13,3,0.000539487
32,8,33,3,0.00110389
32,16,97,3,0.00257184
32,32,321,3,0.00574612
32,64,1153,3,0.0155934
32,128,4353,3,0.0501281
32,256,16897,3,0.173612
32,512,66561,3,0.689706
32,1024,264193,3,2.67852
32,2048,1052673,3,10.5963
32,4096,4202497,3,43.3852
,,,,
64,2,6,3,0.0138003
64,4,13,3,0.000979557
64,8,33,3,0.00205983
64,16,97,3,0.0044466
64,32,321,3,0.0104222
64,64,1153,3,0.0297183
64,128,4353,3,0.0959137
64,256,16897,3,0.34615
64,512,66561,3,1.34921
64,1024,264193,3,5.33647
64,2048,1052673,3,21.2584
64,4096,4202497,3,85.7326
,,,,
128,2,6,3,0.0146312
128,4,13,3,0.00189772
128,8,33,3,0.00396394
128,16,97,3,0.0080712
128,32,321,3,0.0200628
128,64,1153,3,0.051902
128,128,4353,3,0.192766
128,256,16897,3,0.683072
128,512,66561,3,2.67944
128,1024,264193,3,10.5961
128,2048,1052673,3,43.1343
128,4096,4202497,3,172.393
,,,,
