batch_size, input_size, circuit_size, degree, time (in sec)
2,2,6,3,1.865e-06
2,4,13,3,2.232e-06
2,8,33,3,4.708e-06
2,16,97,3,1.227e-05
2,32,321,3,4.0766e-05
2,64,1153,3,0.000160732
2,128,4353,3,0.000666413
2,256,16897,3,0.00274308
2,512,66561,3,0.0113727
2,1024,264193,3,0.0448322
2,2048,1052673,3,0.180207
2,4096,4202497,3,0.716541
,,,,
4,2,6,3,4.101e-06
4,4,13,3,3.963e-06
4,8,33,3,8.405e-06
4,16,97,3,2.4011e-05
4,32,321,3,9.8034e-05
4,64,1153,3,0.000322573
4,128,4353,3,0.00132723
4,256,16897,3,0.00538443
4,512,66561,3,0.0235848
4,1024,264193,3,0.0881839
4,2048,1052673,3,0.351345
4,4096,4202497,3,1.38174
,,,,
8,2,6,3,5.355e-06
8,4,13,3,6.744e-06
8,8,33,3,1.6412e-05
8,16,97,3,5.5942e-05
8,32,321,3,0.000166204
8,64,1153,3,0.000662042
8,128,4353,3,0.00256799
8,256,16897,3,0.0107684
8,512,66561,3,0.0448995
8,1024,264193,3,0.171752
8,2048,1052673,3,0.694237
8,4096,4202497,3,2.87031
,,,,
16,2,6,3,7.961e-06
16,4,13,3,1.1547e-05
16,8,33,3,3.0981e-05
16,16,97,3,0.000147579
16,32,321,3,0.00036279
16,64,1153,3,0.00141445
16,128,4353,3,0.00528051
16,256,16897,3,0.0216662
16,512,66561,3,0.0886633
16,1024,264193,3,0.348374
16,2048,1052673,3,1.43444
16,4096,4202497,3,5.58145
,,,,
32,2,6,3,1.2931e-05
32,4,13,3,2.195e-05
32,8,33,3,8.1744e-05
32,16,97,3,0.000193397
32,32,321,3,0.000712639
32,64,1153,3,0.00254451
32,128,4353,3,0.0102104
32,256,16897,3,0.0429879
32,512,66561,3,0.166981
32,1024,264193,3,0.673839
32,2048,1052673,3,2.77435
32,4096,4202497,3,11.4193
,,,,
64,2,6,3,2.4962e-05
64,4,13,3,4.2477e-05
64,8,33,3,0.000128719
64,16,97,3,0.000396049
64,32,321,3,0.0013773
64,64,1153,3,0.00538543
64,128,4353,3,0.0208543
64,256,16897,3,0.0838799
64,512,66561,3,0.343107
64,1024,264193,3,1.39047
64,2048,1052673,3,5.7578
64,4096,4202497,3,22.421
,,,,
128,2,6,3,4.5555e-05
128,4,13,3,8.525e-05
128,8,33,3,0.000254468
128,16,97,3,0.000751657
128,32,321,3,0.00260678
128,64,1153,3,0.0104097
128,128,4353,3,0.0414101
128,256,16897,3,0.161508
128,512,66561,3,0.66227
128,1024,264193,3,2.66748
128,2048,1052673,3,11.0805
128,4096,4202497,3,44.5607
,,,,
